type,activity,sex_,injury,fatal_(y/n),species_
Unprovoked,Surfing,M,"Right arm severed, ankle severely bitten ",N,"Bull shark, 3.5 m"
Unprovoked,Wading,M,Minor injury to ankle,N,
Unprovoked,Snorkeling,M,Lacerations to left leg,N,
Unprovoked,SUP Foil boarding,M,"No inury, shark & board collided",N,"Tiger shark, 10' "
Unprovoked,Surfing,M,Big toe bitten,N,Blacktip shark
Unprovoked,Swimming,M,Lacerations to right hand,N,Blue shark
Unprovoked,Swimming,M,Lacerations to leg,N,
Boating,Kayaking,M,"No injury, shark nudged kayak repeatedly",N,White shark
Provoked,Lobstering,M,Laceration to left forearm PROVOKED INCIDENT,N,"Nurse shark, 4'"
Unprovoked,Surfing,M,"No injury. Leg rope severed, knocked off board by shark",N,
Unprovoked,Surfing,M,Lacerations to left leg,N,
Unprovoked,Surfing,M,Calf bumped but no injury,N,
Unprovoked,Spearfishing,M,Lacerations to face and right leg,N,"Bull shark, 6'"
Provoked,Fishing,M,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,"reef shark, 1m"
Boating,Fishing in Alabama Deep Fishing Rodeo,,"No injury, shark bit trolling motor",N,"Tiger shark, 10' "
Unprovoked,Surfing,F,Minor injury to leg,N,
Unprovoked,,F,Minor injury to toes,N,
Unprovoked,Kite surfing,M,"No injury, board damaged",N,"White shark, 10' to 12'"
Unprovoked,Swimming,M,Puncture wounds to foot,N,
Unprovoked,Scuba Diving,M,Face bruised when partly blind shark collided with him,N,"Lemon shark, 9'"
Unprovoked,Wading,F,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,Angel shark
Boating,Fishing for squid,M,"No injury. Hull bitten, tooth fragment recovered",N,White shark
Provoked,Fishing,M,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,dogfish shark
Boating,Fishing for sharks,M,"No injury. Hull bitten, tooth fragment recovered",N,White shark
Unprovoked,Swimming,F,"Buttocks, thigh, left hand & wrist injured",N,
Provoked,Fishing,M,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,Tawny nurse shark
Unprovoked,,M,Minor injury,N,3' to 4' shark
Unprovoked,Surfing,M,Foot injured,N,
Unprovoked,Scuba Diving,M,Severe bite to right hand,N,"Caribbean reef shark, 4.5'"
Unprovoked,Spearfishing,M,Injuries to left leg & right hand,N,White shark
Unprovoked,Floating,M,Lacerations and punctures to foot,N,3' to 5' shark
Unprovoked,Wading,M,Injuries to right calf,N,
Unprovoked,Surfing,M,Single puncture wound to arm,N,3' to 4' shark
Provoked,Spearfishing,M,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,5' shark
Unprovoked,Floating in tube,F,Injury to lower leg,N,3' to 4' shark
Unprovoked,Standing,M,Laceration to wrist,N,3' shark
Invalid,Surfing,M,"No injury, board damaged",,Said to involve an 8' shark but more likely damage caused by debris
Unprovoked,Swimming,M,Leg bitten,N,
Unprovoked,Diving,F,FATAL,Y,3+ m shark
Unprovoked,Swimming,M,"Leg severely bitten, surgically amputated",N,Mako shark
Unprovoked,Spearfishing,M,"No injury, but sharks repeatedly hit their fins and guns",,Bronze whaler sharks x 3
Unprovoked,Kite surfing,M,Laceration to heel,N,3 m shark
Unprovoked,Surfing,M,FATAL,Y,White shark
Unprovoked,Swimming,F,Injuries to arm and shoulder,N,
Unprovoked,Swimming,M,Injury to posterior right leg,N,5' shark
Unprovoked,Swimming,F,Puncture wounds to thigh,N,
Unprovoked,Swimming,F,Lacerations and puncture wounds to foot and ankle,N,"Bull shark, 4' to 5'"
Unprovoked,Swimming,F,"Back, arm & hand injured",N,
Unprovoked,Swimming,M,Ankle bitten,N,"Blacktip shark, 4'"
Provoked,Teasing a shark,F,Arm grabbed PROVOKED INCIDENT,N,"Nurse shark, 2'"
Unprovoked,Floating,M,Minor lacerations to right shoulder,N,
Provoked,Fishing,M,Foot bitten by landed shark PROVOKED INCIDENT,N,"Mako shark, 1.5 m [5'] "
Unprovoked,Surfing,M,Elbow bitten,N,"Bull shark, 6'"
Unprovoked,Surfing,M,Minor injury to left foot,N,
Unprovoked,Surf-skiing,M,"No injury, surf-ski bitten",N,White shark
Unprovoked,Swimming,M,Minor puncture wound to foot,N,Wobbegong shark
Provoked,Spearfishing,M,Laceration to knee by speared shark PROVOKED INCIDENT,M,"Grey reef shark, 2 m"
Provoked,Spearfishing,M,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,"Grey reef shark, 2 m"
Unprovoked,Spearfishing,M,Multiple bites to right arm,N,"Bull shark, 7'"
Unprovoked,Walking,F,FATAL,Y,"Tiger shark, 2.5 m"
Invalid,,M,"""Serious""",,Shark involvement not confirmed
Unprovoked,Fishing,M,Left hand bitten,N,5' to 6' shark
Invalid,SUP,M,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,,
Unprovoked,Snorkeling,F,Minor injury to left foot,N,
Unprovoked,Surfing,M,Severe injury to thigh,N,
Unprovoked,,M,Minor injury to arm. Possibly caused by smalll nurse shark,,Shark involvement not confirmed
Unprovoked,Surfing,M,"No injury, board dented",N,
Provoked,,M,Minor injury to chest PROVOKED INCIDENT,N,"Nurse shark, 2.5-ft"
Invalid,Surfing,,Board reportedly bumped by shark. No injury,,Shark involvement not confirmed
Unprovoked,Body surfing,M,Lacerations to right foot and ankle,N,
Unprovoked,Diving for beche-de-mer,M,FATAL,Y,
Unprovoked,,M,Superficial injury to foot,N,
Unprovoked,Fishing,M,Puncture wounds to right calf,N,Bronze whaler
Unprovoked,Swimming,M,Minor injury to head,N,Sandtiger shark
Unprovoked,Kite surfing,M,Puncture wounds to right thigh,N,
Unprovoked,Spearfishing,M,Forearm bitten,N,
Unprovoked,Wading,F,Avulsion injury to lower leg,N,
Invalid,Feeding stingrays?,M,Minor injury to wrist from Southern stingray,,No shark involvement
Invalid,Surfing,M,"No injury, knocked off board",,No shark involvement
Unprovoked,Walking,F,Foot nipped,N,
Unprovoked,Windsurfing,M,"No injury, shark bit board",N,
Unprovoked,Swimming,M,Lacerations to scalp,N,Sandtiger shark
Boating,Kayak fishing,M,"No injury, shark capsized kayak",N,
Unprovoked,Surfing,M,Lacerations to both hands,N,"Reef shark, 5'"
Unprovoked,Surfing,F,No injury,N,
Unprovoked,Spearfishing,M,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,Bull sharks x 2
Boating,Fishing,M,"No injury to occupants, shark leapt into boat",N,Mako shark
Unprovoked,Paddle boarding,M,No injury,N,"Tiger shark, 14'"
Unprovoked,Surfing,M,Laceration to right foot,N,Wobbegong shark
Unprovoked,Wading,M,Laceration to right calf,N,Blacktip shark
Unprovoked,Spearfishing,M,Lacerations to arms & leg,N,3 m shark
Boating,Kayak Fishing,M,"No injury, kayak damaged",N,"White shark, 3 m"
Unprovoked,Swimming,F,Lacerations to left forearm,N,"Silky shark, 6.5'"
Unprovoked,Paddle boarding,M,"No injury, shark bit board",N,9' shark
Unprovoked,Surfing,M,"No injury, shark leapt on surfboard",N,"Bronze whaler shark, 6'"
