type,activity,sex_,injury,fatal_(y/n),species_
Unprovoked,Swimming,M,"FATAL, right forearm severed, lacerations from buttocks to heel L",Y,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Swimming,M,Lacerations to arm,N,
Unprovoked,"Diving, repairing water main at depth of 90'",M,"Injuries, if any, unknown, but afterwards diver stunned shark with iron bar",N,2.1 m [7'] shark
Unprovoked,Diving for coins tossed from passenger ship,M,"Both arms bitten, surgically amputated",N,
Unprovoked,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,F,FATAL,Y,1.8 m shark
Unprovoked,"Inebriated, woke from sleep and fell off deck into the water ",M,Knee bitten,N,
Unprovoked,Bathing,M,"FATAL, hand severed, both legs & arms bitten & nearly severed ",Y,
Provoked,Pearl diving,M,Abrasions PROVOKED ATTACK,N,
Unprovoked,Bathing,M,Leg bitten,N,10' shark
Unprovoked,Standing,M,Left knee & leg bitten. (Tooth fragment recovered from kneecap),N,"Mako shark, 1.9 m [6.5']. Tooth fragment recovered & identified by J.T. Nichols."
Provoked,Fishing for mackerel,M,Arms broken by hooked shark PROVOKED INCIDENT,N,12' shark
Boating,Fishing,M,"No injury, shark tore hole in the side of the boat",N,
Provoked,Removing shark from a net,M,Netted shark made a5-inch incision above the knee PROVOKED INCIDENT,N,
Unprovoked,"Fishing, fell in water & swimming strongly to shore",M,"FATAL, partial remains recovered ",Y,
Unprovoked,"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller",M,"Reported to have had ""2 fights with sharks"" before being rescued by the British freighter Dorsetafter 23 hours in the water",N,
Invalid,Swimming ,M,Abrasions,,Questionable
Unprovoked,Swimming,M,"Left arm severed, leg bitten",N,
Boating,Fishing,,"No injury to occupants, shark bit boat",N,3.5 m shark
Unprovoked,Bathing in 5' of water,F,"Legs severely bitten, surgically amputated",N,
Invalid,Bathing,M,Probable drowning & scavenging,,Shark involvement prior to death unconfirmed
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Swimming,M,Foot lacerated,N,
Unprovoked,Had just dived into water & was swimming,M,"FATAL, right thigh severely bitten, left arm lacerated ",Y,3 m [10'] shark
Unprovoked,Swimming,M,Lacerations to leg,N,
Unprovoked,"Fishing, standing in waist-deep water",M,"FATAL, disappeared, thought to have been taken by a shark ",Y,
Unprovoked,Dry shelling,M,"FATAL, disappeared, partial remains of Selim was found, there was no trace of Dea Opre",Y,
Invalid,Fishing,M,FATAL,,Shark involvement suspected but not confirmed
Invalid,Sailing,M,"He failed to return, his body was recovered 11/9/1922; chest & abdomen had been bitten by shark/s",,Shark involvement prior to death unconfirmed
Boating,Fishing,,"No injury to occupants, shark bit boat",N,"""a very large shark"""
Unprovoked,Pearl diving,M,"Arm severed, but survived",N,
Unprovoked,Fishing,M,Puncture wounds to left leg,N,
Unprovoked,Diving for pearl,M,non-fatal,N,
Boating,"After rowing skiff was holed by shark, he was attempting to swim ashore",M,"FATAL, taken by shark. Two other men drowned,  only 1 man survived",Y,
Boating,Dismantling cable buoys of the cable ship All America,,"No injury to occupants, shark rammed boat",N,
Unprovoked,Wading,M,Minor puncture wounds to foot,N,
Unprovoked,Diving?,M,FATAL,Y,
Unprovoked,Diving,M,Lacerations to right thigh and knee,N,
Unprovoked,Swimming ,M,"Right calf, right side of abdomen & left wrist & hand bitten",N,
Invalid,,M,Death may have been due to drowning,,Shark involvement prior to death was not confirmed
Unprovoked,Swimming,M,"FATAL, back of thigh bitten ",Y,
Invalid,seaplane Columbus ditched in the sea,M,"Although this incident is listed elsewhere as a shark attack, the account of the disaster suggests the 4 who perished probably drowned. Five people survived",,"Atkins' remains were recovered from a dusky shark, C. obscurus, by Capt. W. F. Young, shark fisherman"
Boating,Fishing,M,No injury to occupant Shark struck boat,N,
Unprovoked,,M,"FATAL, abdomen severely bitten. Airplane summoned from Corregidor & injured man was lashed to wing, but he died  ",Y,
Provoked,Hoisting shark aboard fishing boat,M,Shark's tail broke his leg. PROVOKED INCIDENT,N,
Provoked,Hoisting shark aboard fishing boat,M,Shark's tail broke his leg. PROVOKED INCIDENT,N,
Unprovoked,Bathing,F,"FATAL, hip & thigh bitten with  tissue removed, including bone ",Y,
Unprovoked,Bathing in 3' to 4' of water,M,"FATAL, severe injuries to torso  ",Y,"2.7 m [9'] ""blue"" shark"
Unprovoked,Fishing,M,FATAL,Y,
Invalid,Sailing,M,"FATAL, but shark involvement prior to death unconfirmed",,Shark involvement prior to death unconfirmed
Unprovoked,"Freediving, inspecting Kaunakakai wharf construction after blasting & dredging ",M,Survived,N,
Unprovoked,Swimming ,M,FATAL,Y,
Boating,Fishing,,"No injury to occupants, shark splintered stern",N,"""A pack of 6 sharks"""
Unprovoked,,M,Leg bitten,N,
Unprovoked,Floating,F,"FATAL, thigh bitten",Y,1.8 m [6'] shark
Unprovoked,Swimming,M,"FATAL, arm severed, thigh severely bitten  ",Y,6' shark
Unprovoked,Swimming,M,Abdomen & thigh bitten,N,"White shark, 12', identity confirmed by tooth fragment, witness and photograph of captured shark "
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Fishing,M,Survived,N,
Unprovoked,Standing,F,"FATAL, right leg severed at thigh ",Y,2.7 m [9'] shark later captured by Mitchell-Hedges
Unprovoked,Bathing in knee-deep water,M,"FATAL, right hand severed, lacerations on left thigh & left hand, died in hospital of gas gangrene",Y,"White shark, 2.4 m [8'] "
Invalid,Swimming,M,"Disappeared whiile swimming alone, body parts recovered, but shark involvement prior to death unconfirmed",,Shark involvement prior to death unconfirmed
Unprovoked,Swimming,M,"FATAL, both arms & shoulder bitten",Y,White shark
Unprovoked,Bathing,M,FATAL,Y,
Unprovoked,Swimming ,M,FATAL,Y,
Unprovoked,Standing,M,Small laceration on left thigh & swim costume torn,N,Grey nurse shark?
Unprovoked,Surfing,M,"FATAL, disappeared, then his shark-bitten remains washed ashore ",Y,
Unprovoked,Swimming,M,Survived,N,
Unprovoked,Fell from his father's back into the water,M,"FATAL, disappeared, body not recovered",Y,
Unprovoked,"Wading to dinghy, carrying his son",M,"Right hip, buttock, elbow, arm & wrist bitten",N,
Unprovoked,Swimming,,FATAL,Y,
Unprovoked,Diving for beche-de-mer ,M,Lacerations to right arm & chest,N,
Unprovoked,Diving for beche-de-mer,M,"Left thigh bitten, FATAL",Y,
Provoked,Fishing,M,Leg bitten by shark he was attempting to capture PROVOKED INCIDENT,N,"Blue shark, 4' "
Unprovoked,,M,Lacerations to arm,N,
Unprovoked,Swimming,M,"FATAL, abdomen  severely lacerated, taken by seaplane to hospital in Corrigedor but died  ",Y,
Unprovoked,Fell overboard,M,FATAL,Y,
Unprovoked,Wading,M,Lacerations to leg & hand,N,4' to 5' shark
Unprovoked,Dived into a school of baitfish,M,"FATAL, large wound on thigh",Y,Comrades saw shark's tail appear about 5' away
Unprovoked,Standing,M,"Minor injuries to leg, hand & fingers",N,"15* to 24"" dog shark"
Sea Disaster,The coastwise steamer San Basilio capsized in a typhoon,M,FATAL,Y,
Invalid,Swimming ,M,Thought to have been taken by a shark. Body was not recovered,,Questionable
Unprovoked,Diving for trochus shell,M,Severe lacerations to right shoulder & arm,N,
Unprovoked,Swimming ,M,Knee & thigh bitten,N,
Provoked,Harpooned shark,,"No injury to occupants, but shark struck boat with such force that Chandler was flung overboard. PROVOKED INCIDENT",N,15'
Unprovoked,"Boat capsized, swimming to shore",M,"Tossed in air by shark, sustained abrasions",N,
Unprovoked,Diving,M,Lacerations to foot,N,
Unprovoked,Floating face down,F,Abdomen bitten,N,
Unprovoked,Free diving,M,FATAL,Y,
Unprovoked,Swimming ,M,Leg bitten. FATAL,Y,
Unprovoked,Jumped overboard,M,FATAL,Y,
Unprovoked,,F,"""Recovered""",N,
Unprovoked,Splashing,M,Thigh & buttocks bitten. Not known if he survived.,N,
Unprovoked,Swimming,M,Lacerations to left leg,N,
Unprovoked,Swimming,M,"FATAL, left leg & calf bitten, leg surgically amputated ",Y,
Unprovoked,Sitting in a boat,M,Lacerations to buttocks,N,
Unprovoked,Small vessel with 13 men on board capsized crossing the bar and 6 men drowned.  The 7 survivors were swimming to shore,M,"FATAL, 6 men were taken by sharks as they neared the beach, 1 survived",Y,
Unprovoked,Swimming,M,Laceration to left thigh,N,
Unprovoked,"""Swimming vigorously""",M,Left foot bitten & abraded,N,
Unprovoked,Knocked into the water,M,FATAL,Y,"3.7 m [12'], 1200-lb shark. Shark caught & its jaw exhibited at the Carnegie Museum"
Invalid,Cutter capsized,M,Shark involvement not confirmed,UNKNOWN,Shark involvement prior to death unconfirmed
Unprovoked,Swimming,M,"Multiple injuries, left leg surgically amputated at knee",N,3.7 m to 4.3 m [12' to 14']  shark
Unprovoked,Swimming,F,Leg bitten,N,
Unprovoked,Wading,M,"FATAL, right thigh bitten ",Y,12' shark
Unprovoked,Wading (shrimping),M,"FATAL, thigh bitten, leg amputated ",Y,
Boating,Fishing,M,No injury,N,13' shark
Unprovoked,Swimming,F,Leg severed,N,
Unprovoked,Fishing,M,FATAL,Y,
Sea Disaster,Steamer Una wrecked with 75 laborers onboard. Survivors took to rafts & lifeboats.,M,"FATAL, ""men snatched from rafts by sharks""   ",Y,"Tiger sharks, 2.4 m to 4.9 m [8' to 16'] "
Unprovoked,Bathing,M,FATAL,Y,
Unprovoked,Surfing,M,"Severe laceration to arm, necessitating surgical amputation at the elbow",N,12' shark
Unprovoked,Diving,M,Survived,N,
Unprovoked,Swimming,M,Lacerations to left leg,N,
Unprovoked,Wreck of the tug Magellan,M,FATAL,Y,
Unprovoked,"Swimming, towing an empty barrel",M,Left knee lacerated,N,
Provoked,Stuffing a shark into an automobile,M,Arm severely lacerated by shark that had been hooked and shot PROVOKED INCIDENT,N,12' shark
Unprovoked,Swimming to shore from the Medic,M,FATAL,Y,
Unprovoked,Diving,M,FATAL,Y,
Sea Disaster,Ship Mariston torpedoed & sunk,M,"FATAL, only 1 survivor",Y,
Unprovoked,Swimming beside launch,M,Right arm bitten,N,
Unprovoked,Swimming,M,"FATAL, abdominal cavity removed ",Y,
Unprovoked,Diving for pearls,M,Torso bitten,N,
Unprovoked,Diving for sponges,M,"Bitten by shark, but  repelled it with his 'skandalopetra' ",N,
Unprovoked,Bathing,M,Right calf bitten,N,
Unprovoked,Taking wife to beach & about 1 m from the shore,M,"FATAL, right arm severed, chest punctured ",Y,
Unprovoked,Swimming 10 m from shore,F,Leg nipped by shark,N,
Provoked,,M,"""Severely bitten""",N,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Bathing,M,FATAL,Y,
Provoked,"Fishing, attempted to take a netted shark",M,"FATAL, leg severely bitten, surgically amputated PROVOKED INCIDENT",Y,
Unprovoked,Netting shrimp,M,Lower left leg severely bitten & became septic. Not known if he survived,N,
Unprovoked,Fishing,M,Arm severely lacerated,N,
Invalid,Swimming,F,"No attack,  no injury",,
Unprovoked,Swimming,M,Ankle bruised,N,
Unprovoked,Swimming,M,"Lower left leg bitten, surgically amputated",N,Said to involve a 2.7 m [9'] shark
Unprovoked,Swimming (recovering remains of Stilwell) ,M,"FATAL, thigh bitten ",Y,3 m [10'] shark
Unprovoked,Swimming,M,"FATAL, legs & torso bitten ",Y,
Sea Disaster,S.S. Ramos foundered in a hurricane. Captain & 14 crew in water-logged lifeboats. ,M,"FATAL.  When the survivors were rescued next day they were clubbing sharks with oars. ""Sharks were so thick that it was difficult to row""",Y,
Unprovoked,Diving,M,Survived,N,
Unprovoked,Bathing,M,Right foot severed,N,
Unprovoked,Swimming,M,FATAL,Y,Thought to involve a 2.6 m [8.5'] white shark
Unprovoked,Swimming,M,"FATAL, left leg bitten",Y,Thought to involve a 2.6 m [8.5'] white shark
Unprovoked,Swimming,M,Heel bitten,N,
Unprovoked,Jumped overboard from Norwegian steamship Venator,M,Presumed FATAL,Y,
Provoked,,M,Leg bitten by shark hooked shark PROVOKED INCIDENT,N,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Clinging to overturned rowing boat,M,FATAL,Y,
Unprovoked,Bathing,M,Minor lacerations to heel,N,
Unprovoked,Diving,M,"Arm severed, lacerations to thigh",N,
Unprovoked,Bathing,M,Severe bite to arm,N,
Unprovoked,Bathing,M,Severe lacerations to feet & ankles,N,
Unprovoked,,M,Laceration to left leg,N,
Unprovoked,Fishing,M,FATAL,Y,
Unprovoked,Wading,M,FATAL,Y,
Invalid,Fell overboard,M,Shark involvement not confirmed,,Shark involvement prior to death unconfirmed
Unprovoked,Skin diving for trepang but at surface next to the boat,M,"Shoulder bitten. Hana, one of the rescuers, fended shark off with an oar, then shark bit oar in two",N,3 m [10'] shark
Unprovoked,Swimming,M,Foot bitten,N,
Invalid,Fishing,M,Death may have been due to drowning,,Shark involvement prior to death unconfirmed
Unprovoked,Bathing,M,FATAL,Y,
Invalid,,M,"Fatal, drowning or scavenging",,"Reported to involve a 3.7 m [12'] shark, possibly a white shark"
Unprovoked,Swimming,M,Lacerations to right thigh and knee,N,
Sea Disaster,Copra vessel with 19 on board was wrecked in a squall,F,Thigh bitten,N,
Unprovoked,Fell overboard,M,FATAL,Y,"A 20' shark known as ""Old Tom"""
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Washing clothes,F,"No injury, shark grabbed clothes",N,1.5 m [5'] shark
Provoked,Fishing,M,PROVOKED INCIDENT    Legs severed by shark entangled in his net,N,
Unprovoked,,M,"No injury, shark nudged raft and circled for 2 hrs.",N,6 m shark
Boating,Fishing boat,M,"No injury, shark bit paddle and stern of boat",N,
Unprovoked,Bathing,M,FATAL,Y,
Sea Disaster,Swimming ashore from swamped 13-ft boat,M,FATAL x 2,Y,
Provoked,Fishing,F,PROVOKED INCIDENT Lacerations to right hand by hooked shark,N,3' shark
Invalid,Swimming,M,His remains were recovered from a shark 3 years after his disappearance - Probable drowning / scavenging,,Shark involvement prior to death unconfirmed
Sea Disaster,Boat swamped,M,FATAL,Y,
Unprovoked,Washed into sea while picking opihi & attacked by 2 large sharks ,M,FATAL,Y,
Unprovoked,Wading,M,Lacerations to foot,N,said to involve a tiger shark
Unprovoked,Canoeing,M,Lacerations to arms,N,
Unprovoked,Wading,F,Laceration to leg,N,
Unprovoked,,F,No details,UNKNOWN,
Provoked,Fishing for mackerel,,No injury to occupants but hull splintered by harpooned shark PROVOKED INCIDENT,N,13' shark
Sea Disaster,,M,FATAL,Y,
Unprovoked,Boat swamped,M,FATAL,Y,
Unprovoked,Swimming,M,Calf severely bitten;  leg surgically amputated,N,
Unprovoked,,M,Major injuries but survived,N,Said to involve a 2.4 m [8'] hammerhead shark
Provoked,,M,Badly bitten by a shark dragged onboard PROVOKED INCIDENT,N,2 m shark
Invalid,,M,Man's leg recovered from 800-lb shark,,Shark involvement prior to death unconfirmed
Invalid,,F,Female foot recovered from shark,,Shark involvement prior to death unconfirmed
Unprovoked,,M,FATAL,Y,
Unprovoked,Swimming,M,FATAL,Y,
Provoked,Fishing,M,"Forefinger of right hand bitten by a ""dead"" shark PROVOKED INCIDENT",N,
Provoked,Hauling in net,M,Lacerations to thigh by netted shark PROVOKED INCIDENT,N,
Unprovoked,,M,Leg severed,N,
Unprovoked,Diving,M,"Head, neck & left shoulder bitten",N,Tiger shark 
Unprovoked,Swimming after his hat,M,FATAL,Y,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,,M,Arm severed,N,
Sea Disaster,Swimming from foundered vessel,F,FATAL,Y,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Swimming,M,Toes severed,N,8' shark
Unprovoked,Bathing,M,FATAL,Y,
Invalid,,M,,,Shark involvement prior to death unconfirmed
Unprovoked,Swimming,M,"""Slight laceration to leg""",N,
Provoked,Hard hat diving,M,"No injury, shark nipped diving suit after he prodded the shark PROVOKED INCIDENT ",N,
Unprovoked,Swimming,M,Left calf & heel bitten,N,
Unprovoked,Swimming,M,Left shoulder & both legs bitten,N,
Unprovoked,Swimming,M,FATAL,Y,"2.8 m [9'3""] whaler shark captured 3 days later with his remains in its gut"
Unprovoked,Washed overboard,M,FATAL,Y,
Unprovoked,,M,Thigh & lower abdomen severely bitten,N,"C. macrurus captured 48 hours after attack with tissue removed from man in its gut; species identified by G.P. Whitley,  reported as C. obscurus by  R. Steel"
Unprovoked,Bathing,M,FATAL,Y,
Unprovoked,Fell into the water,M,FATAL,Y,White shark
Invalid,,M,"Cause of death undetermined. 3.6 m [11'9""] shark seen carrying body. Next day, shark was killed & Antoine's entire body was found in its gut.",,Shark involvement prior to death unconfirmed
Unprovoked,Fell overboard from steamship Rio Grande,M,FATAL,Y,
Unprovoked,Diving,M,Calves bitten,N,
Unprovoked,Jumped overboard to rescue companion,M,FATAL,Y,
Unprovoked,Fell overboard & swimming,M,FATAL,Y,
Unprovoked,Bathing,M,Left arm & thigh bitten,N,
Unprovoked,Bathing,M,FATAL,Y,
Provoked,Fishing,M,"Hooked shark bit his leg, knee to ankle PROVOKED INCIDENT",N,
Unprovoked,Bathing,M,"FATAL, partial remains recovered",Y,
Provoked,Fishing,M,Bitten on left leg by hooked shark PROVOKED INCIDENT,N,5' shark
Unprovoked,Swimming,M,FATAL,Y,
Boating,Fishing,,"No injury to occupants, shark bit boat",N,
Unprovoked,Swimming,M,FATAL,Y,
Sea Disaster,3-masted steel barque Glenbank foundered during a cyclone,M,Minor injuries,N,
Unprovoked,Swimming,M,Minor injury to feet,N,
Unprovoked,Fishing,M,FATAL,Y,
Invalid,,M,FATAL?,,Questionable
Sea Disaster,Shipwrecked pearling schooner,M,FATAL,Y,
Provoked,Fishing,M,Right hand severely bitten by netted shark PROVOKED INCIDENT,N,Angel shark
Unprovoked,Bathing,M,Foot bitten,N,Said to involve  9' blue shark
Unprovoked,Swimming,M,Leg bitten,N,
Sea Disaster,"Steamer Durao struck rock & filled, boats capsized, passengers & crew tried to swim to shore",,"FATAL, 3 passengers & 14 crew taken by sharks, captain, 1 passenger & 2 crew survived",Y,
Invalid,"Unknown, their unoccupied yawlboat was recovered",M,Presumed drowned & bodies taken by sharks,,Shark involvement prior to death unconfirmed
Unprovoked,Fell overboard from USS cruiser Tacoma,M,FATAL,Y,
Unprovoked,Swimming,M,Lacerations to foot,N,6' shark
Invalid,"Hard hat diving, laying some charge of powder",M,No injury,,Invalid
Unprovoked,Surf bathing,M,"Shoulder, back & leg bitten",N,5.5' to 6' shark
Unprovoked,,M,FATAL,Y,
Invalid,"Fishing, thrown into water by heavy sea, clinging to rocks at the water line",M,"Body bitten by shark/s, but death may have been due to drowning",,Shark involvement prior to death unconfirmed
Unprovoked,Swimming,M,"Calf removed, not known if he survived ",UNKNOWN,6 m [20'] shark
Unprovoked,,M,Severe lacerations to arm,N,
Unprovoked,Fell overboard,M,FATAL,Y,
Provoked,Fishing,M,3 fingers bitten by hooked shark PROVOKED INCIDENT,N,7' shark
Sea Disaster,The 2379-ton French steamer La Seyne collied with British steamer Onda & sank in minutes. Passengers jumped overboard expecting to be picked up by Ondas boats,,"FATAL, 101 people perished, including commander, Joseph Couailhac. Iit was reported that a shoal of sharks circled  passengers in the water and dragged scores of people to their deaths Of the 61 survivors, many were injured by sharks",Y,
Provoked,Seine netting,M,Abrasion to leg from netted shark PROVOKED INCIDENT,N,5' shark
Unprovoked,Fell overboard from fishing schooner Halycon,M,FATAL,Y,
Unprovoked,Fell overboard while fishing for sharks,M,Right leg bitten,N,
Unprovoked,Swimming,M,Hip & thigh lacerated,N,
Unprovoked,Bathing,F,FATAL,Y,
Unprovoked,,M,Remains of soldier in uniform. Probable drowning & scavenging,Y,18-foot shark
Sea Disaster,"1446-ton Norwegian barque Errol, bound from Peru to Newcastle with 22 on board wrecked. Survivors shelterd on the wreck of the Annasona. Subsequently the Master, his wife & 4 children perished along with several crew. Survivors (5) were rescued 7/12/1909",M,"FATAL, only his legs, still in sea-boots, were recovered ",Y,
Provoked,Fishing,M,Shark knocked him down after he grabbed it by the tail. No injury.   PROVOKED INCIDENT,N,
Invalid,Reported swept away by waves while gathering opihi,F, Search party saw a large shark devour what appeared to be part of her body,,Questionable
Unprovoked,Diving (Helmet) for sponges,M,FATAL,Y,
Sea Disaster,Wreck of the 1308-ton Norwegian ship Auckland,F,FATAL,Y,
Invalid,Jumped overboard ,M,FATAL,,Questionable
Invalid,"On December 28, 1908, an earthquake, followed by tsunamis, destroyed coastal towns in Silcily and southern Italy, killing more than 100,000 people",," 3 unidentified bodies recovered (male, female & young girl) from gut of female  4.5 m [14'9""]  white shark caught in fishing net. They may have drowned in tidal wave following earthquake ",,Shark involvement prior to death was not confirmed
Unprovoked,,,Survived,N ,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Swimming ashore from capsized boat,M,"FATAL, ""bitten in two""",Y,
Unprovoked,Fell from the jetty,M,FATAL,Y,Remains recovered from 3 sharks
Unprovoked,On fishing boat & trailing hand in the water,M,Lacerations to fingers,N,
Unprovoked,Fell overboard from P&O steamship Arabia,M,FATAL,Y,
Invalid,,,Human remains recovered but shark involvement prior to death unconfirmed ,,Questionable
Unprovoked,Boating,F,"FATAL, lost a leg",Y,"Species unknown, possible white shark"
Unprovoked,The 168-ton Belmore foundered in heavy seas,M,FATAL,Y,
Sea Disaster,The British steamer Caribbee foundered,M,FATAL,Y,
Sea Disaster,.,.,"Remains of 3 humans recovered from shark, but shark involvement prior to death unconfirmed",Y,Allegedly a 33-foot shark
Sea Disaster,native boats sunk in storm,F,FATAL,Y,
Invalid,,M,"FATAL, but shark involvement prior to death was not confirmed",,Questionable
Unprovoked,Gathering fish stunned by dynamite,M,"FATAL, ""pulled below the surface'  ",Y,
Unprovoked,Bathing,M,FATAL,Y,Bull shark
Unprovoked,Bathing,M,FATAL,Y,
Unprovoked,Fishing,M,"3 of thel 5 were injured, one of whom lost both hands",N,Shark involvement probable
Unprovoked,Fishing,M, 2 of the 5 fishermen were so seriously injured they died of their wounds,Y,Shark involvement probable
Unprovoked,Bathing,M,Lacerations to left arm from shoulder to wrist,N,
Invalid,Reached out to disentangle rope & fell overboard,M,"No attack, no injury",,Invalid
Unprovoked,"Diving, retrieving fish caught in net ",M,"Arm severed at elbow,  surgically amputated at shoulder ",N,
Invalid,Swimming,M," ""Struck across loins"" but no injury. According to witnesses, incident involved a bottlenose dolphin.",,Questionable
Unprovoked,Swimming,F,FATAL,Y,
Unprovoked,Swimming,F,FATAL,Y,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Wading,M,Abrasion to chest,N,
Unprovoked,Swimming,F,FATAL,Y,
Invalid,.,M,"Disappeared, but shark involvement unconfirmed",,Questionable
Unprovoked,Floating in creek,M,Slight injuries to left knee & calf ,N,1.5 m [5'] shark
Unprovoked,Bathing,M," 3 fingers & thigh lacerated, foot crushed",N,
Unprovoked,"Fishing,  tarpon being chased by shark  leapt across his skiff, breaking it in half & Larkin became tangled in the net",M,"FATAL, shark bit his side, nearly cutting him in two  ",Y,
Unprovoked,Fishing,M,"FATAL,            Fell overboard and were killed by shark",Y,"White shark, 6 m "
Unprovoked,"Row boat (from the gunboat Elcano) was sinking, put finger in hole",M,Finger severed,N,
Unprovoked,Standing,M,"FATAL, leg severely bitten     ",Y,
Unprovoked,Bathing,M,FATAL,Y,
Unprovoked,Fishing,M,"Leg severely bitten, surgically amputated",N,
Unprovoked,"Net fishing, fell into the water",M,FATAL,Y,
Unprovoked,Fishing,M,Leg bitten,N,
Unprovoked,,M,Buttock bitten,N,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Diving,M,Arm severed,N,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Swimming,M,Thumb & index finger of left hand severed,N,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Swimming,M,FATAL,Y,
Provoked,Fishing,M,PROVOKED INCIDENT        No injury; shirt torn by gaffed shark,N,"Shortfin mako shark, 175-lb "
Unprovoked,Diving around anchored liner,M,Leg severed. Injury originally thought due to boat's propeller,N,
Unprovoked,Fell overboard,M,FATAL,Y,Remains recovered 5 days later
Unprovoked,Swimming,M,FATAL,Y,Fishermen recovered partial remains from shark a week later
Invalid,,M,Sanna may have drowned; his hand  (identified by ring on finger) found in a shark at the market,,Questionable
Unprovoked,Hard hat diving,M,FATAL,Y,
Provoked,Shooting sharks ,M,Finger severed by shark he had shot & stabbed PROVOKED INCIDENT,N,13' shark
Unprovoked,Diving for beche-de-mer ,M,FATAL,Y,
Sea Disaster,The schooner Tahitienne foundered in a hurricane,M,FATAL x 2,Y,
Invalid,.,M,Cause of death may have been downing,,Questionable
Invalid,Swimming,M,Shark involvement prior to death was not determined,,Questionable
Unprovoked,Bathing,M,FATAL,Y,
Unprovoked,Washing horses,M,"FATAL, hips & thigh bitten ",Y,1.8 m to 2.7 m [6' to 9'] shark
Unprovoked,Floating or standing,M,"FATAL, left torso, buttocks, thigh & foot bitten ",Y,2.4 m [8'] shark
Invalid,Bathing,M,"""Bad wound in the leg"" - 7-ft shark caught in the bath same day",,Shark involvement not confirmed
Unprovoked,Swimming,M,FATAL. Shark involvement suspected but not confirmed,Y,
Provoked,Fishing,M,Lacerations to leg from hooked shark PROVOKED INCIDENT,N,
Invalid,Human head found in shark caught by British steamer Syria,M,Probable drowning & scavenging. ,,"Tiger shark, 3.9 m"
Unprovoked,Swimming from naptha launch after a day of fishing,M,3 toes of right foot were severed,N,
Unprovoked,Bathing,M,Leg bitten,N,
Unprovoked,Wading,M,Body not recovered FATAL,Y,
Invalid,,M,"Body recovered from shark, probable drowning and scavenging",,Shark involvement prior to death was not confirmed
Unprovoked,Jumped or fell overboard,M,FATAL,Y,
Unprovoked,Fishing,M,FATAL,Y,
Unprovoked,Swimming,M,Lacerations to back & right leg,N,
Unprovoked,Swimming,M,"FATAL, thigh bitten, femoral artery severed  ",Y,
Unprovoked,Bathing,M,Righ thigh severely bitten,N,5' shark
Invalid,Bathing,,FATAL,,Questionable
Invalid,Bathing,M,Thought to have been taken by a shark,,Questionable
Invalid,Bathing,M,Reported to have been killed by a shark but 2 years later he was found very much alive,,Invalid
Boating,Harpooning turtles,,"No injury, shark bumped skiff",N,20' shark
Unprovoked,Bathing alongside US Naval ship,M,Foot bitten,N,
Unprovoked,Fell overboard,M,FATAL,Y,
Unprovoked,Lost his footing & fell overboard,M,"FATAL, left leg severed below knee, right leg severed above knee by a second shark",Y,
Unprovoked,"Ship's boat capsized in squall, captain & 2 sailors clinging onto hull",M,"FATAL, shark pulled them off hull of boat  ",Y,
Unprovoked,Sailing,M,No injury,N,
Unprovoked,Swimming,M,"FATAL, body not recovered",Y,
Unprovoked,Swimming,M,FATAL x 4. Afterwards metal mesh nets were installed,Y,
Unprovoked,Swimming after his hat,M,FATAL,Y,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Bathing,M,FATAL,Y,
Unprovoked,Swimming,M,FATAL,Y,
Invalid,Diving on a wreck,M,Leg bitten,,Questionable
Unprovoked,Bathing,M,Left arm bitten,N,
Unprovoked,Swimming,M,"FATAL, disappeared, then shark caught with head and body of man, from waist down minus leg, in its gut",Y,
Unprovoked,Fell overboard,M,FATAL,Y,
Unprovoked,Fishing,M,Lacerations to right arm & shoulder,N,9' shark
Unprovoked,"Swimming, after falling overboard",M,"Right leg bitten, surgically amputated",N,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Bathing,M,FATAL x 3,Y,
Unprovoked,Suicide,M,Jumped off cliff,Y,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,,M,FATAL,Y,Bull shark
Unprovoked,Sponge diving,M,FATAL,Y,
Unprovoked,Fishing,M,"FATAL, remains (foot) recovered from shark 2 days later",Y,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Swimming,M,FATAL,Y,
Unprovoked,Fishing,M,Severe laceration to hand,N,
Unprovoked,Swimming,M,FATAL,Y,
