type,activity,sex_,injury,fatal_(y/n),species_,shark_specie,activity_group,severity_group,body_group
Unprovoked,Fell from the jetty,M,FATAL,Y,Remains recovered from 3 sharks,Unidentify,Other,Undetermined,Undetermined
Unprovoked,On fishing boat & trailing hand in the water,M,Lacerations to fingers,N,empty,Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,Fell overboard from P&O steamship Arabia,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Invalid,empty,,Human remains recovered but shark involvement prior to death unconfirmed ,,Questionable,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Boating,F,"FATAL, lost a leg",Y,"Species unknown, possible white shark",White Shark,Boat incincidents,Undetermined,Lower extremities
Unprovoked,The 168-ton Belmore foundered in heavy seas,M,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
Sea Disaster,The British steamer Caribbee foundered,M,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
Sea Disaster,.,,"Remains of 3 humans recovered from shark, but shark involvement prior to death unconfirmed",Y,Allegedly a 33-foot shark,Unidentify,Other,Undetermined,Undetermined
Sea Disaster,native boats sunk in storm,F,FATAL,Y,empty,Unidentify,Boat incincidents,Undetermined,Undetermined
Invalid,empty,M,"FATAL, but shark involvement prior to death was not confirmed",,Questionable,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Gathering fish stunned by dynamite,M,"FATAL, ""pulled below the surface'  ",Y,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Bathing,M,FATAL,Y,Bull shark,Bull Shark,Swimming,Undetermined,Undetermined
Unprovoked,Bathing,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Fishing,M,"3 of thel 5 were injured, one of whom lost both hands",N,Shark involvement probable,Unidentify,Fishing,Undetermined,Upper extremities
Unprovoked,Fishing,M, 2 of the 5 fishermen were so seriously injured they died of their wounds,Y,Shark involvement probable,Unidentify,Fishing,Undetermined,Undetermined
Unprovoked,Bathing,M,Lacerations to left arm from shoulder to wrist,N,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Invalid,Reached out to disentangle rope & fell overboard,M,"No attack, no injury",,Invalid,Unidentify,Board sports,Minor or No injuries,Undetermined
Unprovoked,"Diving, retrieving fish caught in net ",M,"Arm severed at elbow,  surgically amputated at shoulder ",N,empty,Unidentify,Diving,Amputations or Lacerations,Upper extremities
Invalid,Swimming,M," ""Struck across loins"" but no injury. According to witnesses, incident involved a bottlenose dolphin.",,Questionable,Unidentify,Swimming,Minor or No injuries,Undetermined
Unprovoked,Swimming,F,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming,F,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Wading,M,Abrasion to chest,N,empty,Unidentify,Wading,Undetermined,Torso
Unprovoked,Swimming,F,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Invalid,.,M,"Disappeared, but shark involvement unconfirmed",,Questionable,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Floating in creek,M,Slight injuries to left knee & calf ,N,1.5 m [5'] shark,Unidentify,Other,Undetermined,Lower extremities
Unprovoked,Bathing,M," 3 fingers & thigh lacerated, foot crushed",N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,"Fishing,  tarpon being chased by shark  leapt across his skiff, breaking it in half & Larkin became tangled in the net",M,"FATAL, shark bit his side, nearly cutting him in two  ",Y,empty,Unidentify,Fishing,Amputations or Lacerations,Undetermined
Unprovoked,Fishing,M,"FATAL,            Fell overboard and were killed by shark",Y,"White shark, 6 m ",White Shark,Fishing,Undetermined,Undetermined
Unprovoked,"Row boat (from the gunboat Elcano) was sinking, put finger in hole",M,Finger severed,N,empty,Unidentify,Boat incincidents,Amputations or Lacerations,Upper extremities
Unprovoked,Standing,M,"FATAL, leg severely bitten     ",Y,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Bathing,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Fishing,M,"Leg severely bitten, surgically amputated",N,empty,Unidentify,Fishing,Amputations or Lacerations,Lower extremities
Unprovoked,"Net fishing, fell into the water",M,FATAL,Y,empty,Unidentify,Fishing,Undetermined,Undetermined
Unprovoked,Fishing,M,Leg bitten,N,empty,Unidentify,Fishing,Amputations or Lacerations,Lower extremities
Unprovoked,empty,M,Buttock bitten,N,empty,Unidentify,Other,Amputations or Lacerations,Undetermined
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Diving,M,Arm severed,N,empty,Unidentify,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming,M,Thumb & index finger of left hand severed,N,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Provoked,Fishing,M,PROVOKED INCIDENT        No injury; shirt torn by gaffed shark,N,"Shortfin mako shark, 175-lb ",Mako Shark,Fishing,Minor or No injuries,Undetermined
Unprovoked,Diving around anchored liner,M,Leg severed. Injury originally thought due to boat's propeller,N,empty,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Fell overboard,M,FATAL,Y,Remains recovered 5 days later,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,Fishermen recovered partial remains from shark a week later,Unidentify,Swimming,Undetermined,Undetermined
Invalid,empty,M,Sanna may have drowned; his hand  (identified by ring on finger) found in a shark at the market,,Questionable,Unidentify,Other,Undetermined,Upper extremities
Unprovoked,Hard hat diving,M,FATAL,Y,empty,Unidentify,Diving,Undetermined,Undetermined
Provoked,Shooting sharks ,M,Finger severed by shark he had shot & stabbed PROVOKED INCIDENT,N,13' shark,Unidentify,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Diving for beche-de-mer ,M,FATAL,Y,empty,Unidentify,Diving,Undetermined,Undetermined
Sea Disaster,The schooner Tahitienne foundered in a hurricane,M,FATAL x 2,Y,empty,Unidentify,Other,Undetermined,Undetermined
Invalid,.,M,Cause of death may have been downing,,Questionable,Unidentify,Other,Undetermined,Undetermined
Invalid,Swimming,M,Shark involvement prior to death was not determined,,Questionable,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Bathing,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Washing horses,M,"FATAL, hips & thigh bitten ",Y,1.8 m to 2.7 m [6' to 9'] shark,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Floating or standing,M,"FATAL, left torso, buttocks, thigh & foot bitten ",Y,2.4 m [8'] shark,Unidentify,Other,Amputations or Lacerations,Lower extremities
Invalid,Bathing,M,"""Bad wound in the leg"" - 7-ft shark caught in the bath same day",,Shark involvement not confirmed,Unidentify,Swimming,Undetermined,Lower extremities
Unprovoked,Swimming,M,FATAL. Shark involvement suspected but not confirmed,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Provoked,Fishing,M,Lacerations to leg from hooked shark PROVOKED INCIDENT,N,empty,Unidentify,Fishing,Amputations or Lacerations,Lower extremities
Invalid,Human head found in shark caught by British steamer Syria,M,Probable drowning & scavenging. ,,"Tiger shark, 3.9 m",Tiger Shark,Other,Undetermined,Undetermined
Unprovoked,Swimming from naptha launch after a day of fishing,M,3 toes of right foot were severed,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Bathing,M,Leg bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Wading,M,Body not recovered FATAL,Y,empty,Unidentify,Wading,Undetermined,Undetermined
Invalid,empty,M,"Body recovered from shark, probable drowning and scavenging",,Shark involvement prior to death was not confirmed,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Jumped or fell overboard,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Fishing,M,FATAL,Y,empty,Unidentify,Fishing,Undetermined,Undetermined
Unprovoked,Swimming,M,Lacerations to back & right leg,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,"FATAL, thigh bitten, femoral artery severed  ",Y,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Bathing,M,Righ thigh severely bitten,N,5' shark,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Invalid,Bathing,,FATAL,,Questionable,Unidentify,Swimming,Undetermined,Undetermined
Invalid,Bathing,M,Thought to have been taken by a shark,,Questionable,Unidentify,Swimming,Undetermined,Undetermined
Invalid,Bathing,M,Reported to have been killed by a shark but 2 years later he was found very much alive,,Invalid,Unidentify,Swimming,Undetermined,Undetermined
Boating,Harpooning turtles,,"No injury, shark bumped skiff",N,20' shark,Unidentify,Other,Minor or No injuries,Undetermined
Unprovoked,Bathing alongside US Naval ship,M,Foot bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Fell overboard,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Lost his footing & fell overboard,M,"FATAL, left leg severed below knee, right leg severed above knee by a second shark",Y,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,"Ship's boat capsized in squall, captain & 2 sailors clinging onto hull",M,"FATAL, shark pulled them off hull of boat  ",Y,empty,Unidentify,Boat incincidents,Undetermined,Undetermined
Unprovoked,Sailing,M,No injury,N,empty,Unidentify,Other,Minor or No injuries,Undetermined
Unprovoked,Swimming,M,"FATAL, body not recovered",Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL x 4. Afterwards metal mesh nets were installed,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming after his hat,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Bathing,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Invalid,Diving on a wreck,M,Leg bitten,,Questionable,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Bathing,M,Left arm bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,"FATAL, disappeared, then shark caught with head and body of man, from waist down minus leg, in its gut",Y,empty,Unidentify,Swimming,Undetermined,Lower extremities
Unprovoked,Fell overboard,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Fishing,M,Lacerations to right arm & shoulder,N,9' shark,Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,"Swimming, after falling overboard",M,"Right leg bitten, surgically amputated",N,empty,Unidentify,Board sports,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Bathing,M,FATAL x 3,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Suicide,M,Jumped off cliff,Y,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,empty,M,FATAL,Y,Bull shark,Bull Shark,Other,Undetermined,Undetermined
Unprovoked,Sponge diving,M,FATAL,Y,empty,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Fishing,M,"FATAL, remains (foot) recovered from shark 2 days later",Y,empty,Unidentify,Fishing,Undetermined,Lower extremities
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Fishing,M,Severe laceration to hand,N,empty,Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Boating,Fishing,M,"No injury to occupants, shark grabbed anchor rope & towed boat",N,empty,Unidentify,Fishing,Minor or No injuries,Undetermined
Unprovoked,Catching crabs,M,"FATAL, both arms severed  ",Y,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Provoked,Fishing,M,Face & arms injured by hooked shark PROVOKED INCIDENT ,N,empty,Unidentify,Fishing,Undetermined,Upper extremities
Provoked,Swimming,M,Shark bit his left arm after he grabbed its tail PROVOKED INCIDENT,N,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,empty,M,"""Nose hanging by a threat, prints of shark's teeth over entire right cheek""",N,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Sponge diving,M,Bitten on hand and thigh,N,empty,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Invalid,Swimming,M,Probable drowning & scavenging,,Questionable,Unidentify,Swimming,Undetermined,Undetermined
Provoked,Standing on ship deck,M,"No injury, hooked shark bit tousers. PROVOKED INCIDENT",N,empty,Unidentify,Boat incincidents,Minor or No injuries,Undetermined
Unprovoked,Dangling feet in the water,M,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
Invalid,empty,M,Possible drowning & scavenging. Remains were recovered from a 15' shark's gut,,Questionable,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Swimming,M,Legs bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Bathing,M,Lacerations to torso & thigh,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Taking catch from a fish weir in which the shark was snared,M,Right thigh bitten ,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,"FATAL, bitten on arms, chest & legs",Y,2 m shark,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,"Right leg bitten & foot severed, right arm bitten, bones fractured & nearly severed FATAL",Y,White shark,White Shark,Swimming,Amputations or Lacerations,Lower extremities
Invalid,Swimming,M,"Disappeared, but shark involvement unconfirmed",,Questionable,Unidentify,Swimming,Undetermined,Undetermined
Invalid,Diving around anchored liner,M,empty,,Questionable,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Swimming,M,"Left thigh stripped of flesh 4"" above the knee ",N,empty,Unidentify,Swimming,Undetermined,Lower extremities
Unprovoked,Bathing,M,"Thigh bitten, FATAL",Y,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Bathing,M,Abdomen bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Torso
Unprovoked,Bathing,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming,M,"FATAL, legs severed",Y,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Invalid,Swimming,M,Probable drowning & scavenging,,Questionable,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming,M,Laceration to right leg,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Diving,M,No injury,, ,Unidentify,Diving,Minor or No injuries,Undetermined
Unprovoked,Floating,M,"Bathing suit torn & ""imprints of the shark's teeth on his body""",N,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Bathing,M,Left hand lacerated,N,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Invalid,Hunting seashells,M,"Believed drowned. UhlbrechtÂs foot, and the pelvis & femur of another person recovered in gut of tiger shark shark caught on 17-Aug-1900",,Questionable,Unidentify,Other,Undetermined,Lower extremities
Provoked, ,,"No injury to occupants. They shot shark, then it capsized their skiff. PROVOKED INCIDENT",N,empty,Unidentify,Other,Minor or No injuries,Undetermined
Unprovoked,"Standing, gathering oysters",M,Right posterior thigh bitten,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,empty,M,Severe abrasion when shark swam between his legs,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,Leg severed,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Fell into the water,M,bite to lower leg,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Sea Disaster,Sea Disaster,,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
Boating,Fishing for squid,,"No injury to occupants, shark bit boat",N,20' shark,Unidentify,Fishing,Minor or No injuries,Undetermined
Unprovoked,Diving,M,Lacerations to head,N,empty,Unidentify,Diving,Amputations or Lacerations,Undetermined
Unprovoked,Sponge diving,M,FATAL,Y,empty,Unidentify,Diving,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Provoked,Hunting sharks,M,"FATAL, Drowned or crushed when harpooned shark smashed their boat PROVOKED INCIDENT",Y,Basking shark,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,3 m [10'] shark,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Floating on his back,M,Back muscles torn away,N,empty,Unidentify,Other,Undetermined,Torso
Unprovoked,Bathing,M,"Forearm, wrist & hand bitten",N,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,Bathing,M,Left leg bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Fell overboard ,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Provoked,Fishing,M,Multiple injuries from boated shark PROVOKED INCIDENT,N,70 kg shark,Unidentify,Fishing,Undetermined,Undetermined
Invalid,Attempting to land a boat from the Hinemoa,M,FATAL,,Shark involvement not confirmed,Unidentify,Boat incincidents,Undetermined,Undetermined
Invalid,Swimming,M,FATAL,,Shark involvement not confirmed,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Bathing,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Invalid,Bathing,F,Drowning may mav preceded attack,,Questionable,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Dangling feet in the water,M,Foot severed ,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Boating,Rowing,M,No injury to occupants. shark bit oar,N,empty,Unidentify,Other,Minor or No injuries,Undetermined
Unprovoked,Hunting crayfish,M,Leg bitten,N,1.5 m [5'] shark,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Fell oveboard,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Jumped overboard,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Diving,M,Lacerations to hand from shark trapped inside diving bell. ,N,empty,Unidentify,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Diving,M,Lacerations to fingers,N,empty,Unidentify,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Fell overboard,M,FATAL,Y,empty,Unidentify,Board sports,Undetermined,Undetermined
Unprovoked,Swimming,M,Laceration to thigh,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Invalid,Swimming after their boat capsized,M,"Reported fatal, but this is a questionable incident",,Questionable,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming at side of small boat,M,"FATAL, severe injuries to both arms & legs, 3 limbs surgically amputed & died after 3 days  ",Y,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Standing,M,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,boat from City of Naples capsized,M,FATAL,Y,empty,Unidentify,Boat incincidents,Undetermined,Undetermined
Sea Disaster,The cutter Francis Adams foundered,M,Lacerations to thigh,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Invalid,Sponge divers,M,Unknown,,Questionable,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Fishing (Seining),M,Lacerations to left hand,N,White shark,White Shark,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,13 men in the water after sailboat capsized & sank,M,"FATAL, 7 survived but 6 were taken by sharks",Y,empty,Unidentify,Boat incincidents,Undetermined,Undetermined
Unprovoked,Trailing hand in the water,F,"Hand lacerated, 2 fingers severed",N,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Attempting to escape by swimming to shore,M,"FATAL, 4 were killed by sharks, 1 survived",Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,empty,M,Lacerations,N,empty,Unidentify,Other,Amputations or Lacerations,Undetermined
Unprovoked,Diving for coins,M,FATAL,Y,empty,Unidentify,Diving,Undetermined,Undetermined
Sea Disaster,Loss of the schooner Nomad,M,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
Provoked,Angling,M,Hooked shark bit his leg PROVOKED INCIDENT,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Invalid,Diving,M,Minor injuries,,Questionable,Unidentify,Diving,Minor or No injuries,Undetermined
Unprovoked,Fishing,,FATAL,Y,3 sharks,Unidentify,Fishing,Undetermined,Undetermined
Provoked,Fishing,M,Lacerations to hand by netted shark PROVOKED INCIDENT,N,"13'10"" shark",Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,Standing,M,Lacerations to lower leg,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Unprovoked,Wading after stray fish from seine netterÂs catch,M,FATAL,Y,empty,Unidentify,Wading,Undetermined,Undetermined
Sea Disaster,Wreck of the steamship Sultan of Bombay,,FATAL,Y,empty,Unidentify,Boat incincidents,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Fishing,M,FATAL,Y,empty,Unidentify,Fishing,Undetermined,Undetermined
Unprovoked,empty,M,Lacerations to left arm,N,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Unprovoked,empty,,No details,,empty,Unidentify,Other,Undetermined,Undetermined
Boating,Fishing,M,No injury to occupants. Shark bit boat several times,N,12' to 14' shark,Unidentify,Fishing,Minor or No injuries,Undetermined
Unprovoked,Bathing,M,"FATAL, left arm severed at elbow,  right arm at wrist ",Y,empty,Unidentify,Swimming,Amputations or Lacerations,Upper extremities
Unprovoked,empty,M,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Boat swamped,M,FATAL,Y,empty,Unidentify,Boat incincidents,Undetermined,Undetermined
Unprovoked,Diving,M,Leg severed,N,empty,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Fishing,M,FATAL,Y,empty,Unidentify,Fishing,Undetermined,Undetermined
Unprovoked,Bathing,M,Lacerations to foot and calf,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Bathing,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,"Swimming ashore from a ""filibuster""",M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Wading,M,Leg severed below knee,N,empty,Unidentify,Wading,Amputations or Lacerations,Lower extremities
Unprovoked,Bathing,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Diving for coins,M,Leg bitten,N,empty,Unidentify,Diving,Amputations or Lacerations,Lower extremities
Unprovoked,Fishing,M,FATAL,Y,empty,Unidentify,Fishing,Undetermined,Undetermined
Sea Disaster,Shipwreck,M,Probable drowning & scavenging,,Questionable,Unidentify,Boat incincidents,Undetermined,Undetermined
Unprovoked,Diving for coins,M,FATAL,Y,empty,Unidentify,Diving,Undetermined,Undetermined
Provoked,Fishing,,"No injury, hooked shark rammed boat & Ruark fell on its back PROVOKED INCIDENT",N,5' shark,Unidentify,Fishing,Minor or No injuries,Torso
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Fishing,M,Arm bitten,N,empty,Unidentify,Fishing,Amputations or Lacerations,Upper extremities
Unprovoked,Hunting seals,M,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
Unprovoked,Diving,M,Right hand severed,N,empty,Unidentify,Diving,Amputations or Lacerations,Upper extremities
Unprovoked,Pearl diving,M,FATAL,Y,empty,Unidentify,Diving,Undetermined,Undetermined
Sea Disaster,Sea Disaster : Wreck of the Carrie E. Long,M,Heel bitten,N,empty,Unidentify,Boat incincidents,Amputations or Lacerations,Undetermined
Unprovoked,"""Boat accident""",M,FATAL       Thigh bitten,Y,empty,Unidentify,Boat incincidents,Amputations or Lacerations,Lower extremities
Unprovoked,"""Crossing the river""",M,"FATAL, right arm lacerated ",Y,empty,Unidentify,Other,Amputations or Lacerations,Upper extremities
Unprovoked,Swimming,M,Lacerations to foot,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming,M,Lower leg & foot bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,"Swimming, after sailboat capsized",M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Boating,empty,,No injury to occupants of boat,N,empty,Unidentify,Other,Minor or No injuries,Undetermined
Provoked,Fishing,M,Left leg bitten PROVOKED INCIDENT,N,12' shark,Unidentify,Fishing,Amputations or Lacerations,Lower extremities
Unprovoked,Bathing,M,"""Lost his arm""",N,10' to 12' shark,Unidentify,Swimming,Undetermined,Upper extremities
Unprovoked,Swimming,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Bathing,M,Lacerations to leg,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Dangling feet in the water,F,Foot severed,N,empty,Unidentify,Other,Amputations or Lacerations,Lower extremities
Provoked,Fishing,M,Laceration to calf  PROVOKED INCIDENT,N,empty,Unidentify,Fishing,Amputations or Lacerations,Undetermined
Unprovoked,Swimming,F,No injury,,"Shovelnose shark, 5'",Unidentify,Swimming,Minor or No injuries,Undetermined
Unprovoked,Swimming / floating on his back,M,Lacerations to thigh,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Fishing,M,No injury,Y,1.8 m shark,Unidentify,Fishing,Minor or No injuries,Undetermined
Unprovoked,Bathing,M,"""Painfully injured"" but no details",,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Swimming after harpooned whale capsized boat,M,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Bathing ,M,Right leg bitten,N,empty,Unidentify,Swimming,Amputations or Lacerations,Lower extremities
Unprovoked,Fell from yardarm of British ship Rover,M,FATAL ,Y,20' shark,Unidentify,Boat incincidents,Undetermined,Undetermined
Unprovoked,Bathing,F,FATAL,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Bathing,F,FATAL ,Y,empty,Unidentify,Swimming,Undetermined,Undetermined
Unprovoked,Murder,M,FATAL,Y,empty,Unidentify,Other,Undetermined,Undetermined
